"","cond_A_cell1","cond_A_cell2","cond_A_cell3","cond_A_cell4","cond_A_cell5","cond_A_cell6","cond_A_cell7","cond_A_cell8","cond_A_cell9","cond_A_cell10","cond_A_cell11","cond_A_cell12","cond_A_cell13","cond_A_cell14","cond_A_cell15","cond_A_cell16","cond_A_cell17","cond_A_cell18","cond_A_cell19","cond_A_cell20","cond_A_cell21","cond_A_cell22","cond_A_cell23","cond_A_cell24","cond_A_cell25","cond_A_cell26","cond_A_cell27","cond_A_cell28","cond_A_cell29","cond_A_cell30","cond_A_cell31","cond_A_cell32","cond_A_cell33","cond_A_cell34","cond_A_cell35","cond_A_cell36","cond_A_cell37","cond_A_cell38","cond_A_cell39","cond_A_cell40","cond_A_cell41","cond_A_cell42","cond_A_cell43","cond_A_cell44","cond_A_cell45","cond_A_cell46","cond_B_cell1","cond_B_cell2","cond_B_cell3","cond_B_cell4","cond_B_cell5","cond_B_cell6","cond_B_cell7","cond_B_cell8","cond_B_cell9","cond_B_cell10","cond_B_cell11","cond_B_cell12","cond_B_cell13","cond_B_cell14","cond_B_cell15","cond_B_cell16","cond_B_cell17","cond_B_cell18","cond_B_cell19","cond_B_cell20","cond_B_cell21","cond_B_cell22","cond_B_cell23","cond_B_cell24","cond_B_cell25","cond_B_cell26","cond_B_cell27","cond_B_cell28","cond_B_cell29","cond_B_cell30","cond_B_cell31","cond_B_cell32","cond_B_cell33","cond_B_cell34","cond_B_cell35","cond_B_cell36","cond_B_cell37","cond_B_cell38","cond_B_cell39","cond_B_cell40","cond_B_cell41","cond_B_cell42","cond_B_cell43","cond_B_cell44","cond_B_cell45","cond_B_cell46","cond_B_cell47","cond_B_cell48","cond_B_cell49","cond_B_cell50","cond_B_cell51","cond_C_cell1","cond_C_cell2","cond_C_cell3","cond_C_cell4","cond_C_cell5","cond_C_cell6","cond_C_cell7","cond_C_cell8","cond_C_cell9","cond_C_cell10","cond_C_cell11","cond_C_cell12","cond_C_cell13","cond_C_cell14","cond_C_cell15","cond_C_cell16","cond_C_cell17","cond_C_cell18","cond_C_cell19","cond_C_cell20","cond_C_cell21","cond_C_cell22","cond_C_cell23","cond_C_cell24","cond_C_cell25","cond_C_cell26","cond_C_cell27","cond_C_cell28","cond_C_cell29","cond_C_cell30","cond_C_cell31","cond_C_cell32","cond_C_cell33","cond_D_cell1","cond_D_cell2","cond_D_cell3","cond_D_cell4","cond_D_cell5","cond_D_cell6","cond_D_cell7","cond_D_cell8","cond_D_cell9","cond_D_cell10","cond_D_cell11","cond_D_cell12","cond_D_cell13","cond_D_cell14","cond_D_cell15","cond_D_cell16","cond_D_cell17","cond_D_cell18","cond_D_cell19","cond_D_cell20","cond_D_cell21","cond_D_cell22","cond_D_cell23","cond_D_cell24","cond_D_cell25","cond_D_cell26","cond_D_cell27","cond_D_cell28","cond_D_cell29","cond_D_cell30","cond_D_cell31","cond_D_cell32","cond_D_cell33","cond_D_cell34","cond_D_cell35","cond_D_cell36","cond_D_cell37","cond_D_cell38","cond_D_cell39","cond_D_cell40","cond_D_cell41","cond_D_cell42","cond_D_cell43","cond_D_cell44","cond_D_cell45","cond_D_cell46","cond_D_cell47","cond_D_cell48","cond_D_cell49","cond_D_cell50","cond_D_cell51","cond_D_cell52","cond_D_cell53","cond_D_cell54","cond_D_cell55","cond_D_cell56","cond_D_cell57","cond_D_cell58","cond_D_cell59","cond_D_cell60","cond_D_cell61","cond_D_cell62","cond_D_cell63","cond_D_cell64","cond_D_cell65","cond_D_cell66","cond_D_cell67","cond_D_cell68","cond_D_cell69","cond_D_cell70","cond_D_cell71","cond_D_cell72","cond_D_cell73","cond_D_cell74","cond_D_cell75","cond_D_cell76","cond_D_cell77","cond_D_cell78","cond_D_cell79","cond_D_cell80","cond_D_cell81","cond_D_cell82","cond_D_cell83","cond_D_cell84","cond_D_cell85","cond_D_cell86","cond_E_cell1","cond_E_cell2","cond_E_cell3","cond_E_cell4","cond_E_cell5","cond_E_cell6","cond_E_cell7","cond_E_cell8","cond_E_cell9","cond_E_cell10","cond_E_cell11","cond_E_cell12","cond_E_cell13","cond_E_cell14","cond_E_cell15","cond_E_cell16","cond_E_cell17","cond_E_cell18","cond_E_cell19","cond_E_cell20","cond_E_cell21","cond_E_cell22","cond_E_cell23","cond_E_cell24","cond_E_cell25","cond_E_cell26","cond_E_cell27","cond_E_cell28","cond_E_cell29","cond_E_cell30","cond_E_cell31","cond_E_cell32","cond_E_cell33","cond_E_cell34","cond_E_cell35","cond_E_cell36","cond_E_cell37","cond_E_cell38","cond_E_cell39","cond_E_cell40","cond_E_cell41","cond_E_cell42","cond_E_cell43","cond_E_cell44","cond_E_cell45","cond_E_cell46","cond_E_cell47","cond_E_cell48","cond_E_cell49","cond_E_cell50","cond_E_cell51","cond_E_cell52","cond_E_cell53","cond_E_cell54","cond_E_cell55","cond_E_cell56","cond_E_cell57","cond_E_cell58","cond_E_cell59","cond_E_cell60","cond_E_cell61","cond_E_cell62","cond_E_cell63","cond_E_cell64","cond_E_cell65","cond_E_cell66","cond_E_cell67","cond_E_cell68","cond_E_cell69","cond_F_cell1","cond_F_cell2","cond_F_cell3","cond_F_cell4","cond_F_cell5","cond_F_cell6","cond_F_cell7","cond_F_cell8","cond_F_cell9","cond_F_cell10","cond_F_cell11","cond_F_cell12","cond_F_cell13","cond_F_cell14","cond_F_cell15","cond_F_cell16","cond_F_cell17","cond_F_cell18","cond_F_cell19","cond_F_cell20","cond_F_cell21","cond_F_cell22","cond_F_cell23","cond_F_cell24","cond_F_cell25","cond_F_cell26","cond_F_cell27","cond_F_cell28","cond_F_cell29","cond_F_cell30","cond_F_cell31","cond_F_cell32","cond_F_cell33","cond_F_cell34","cond_F_cell35","cond_F_cell36","cond_F_cell37","cond_F_cell38","cond_F_cell39","cond_F_cell40","cond_F_cell41","cond_F_cell42","cond_F_cell43","cond_F_cell44","cond_F_cell45","cond_F_cell46","cond_F_cell47","cond_F_cell48","cond_F_cell49","cond_F_cell50","cond_F_cell51","cond_F_cell52","cond_F_cell53","cond_F_cell54","cond_F_cell55","cond_F_cell56","cond_F_cell57","cond_F_cell58","cond_F_cell59","cond_F_cell60","cond_F_cell61","cond_F_cell62","cond_F_cell63","cond_F_cell64","cond_F_cell65","cond_F_cell66","cond_F_cell67","cond_F_cell68","cond_F_cell69","cond_F_cell70","cond_F_cell71","cond_F_cell72","cond_F_cell73","cond_F_cell74","cond_F_cell75","cond_F_cell76","cond_F_cell77","cond_F_cell78","cond_F_cell79","cond_F_cell80","cond_F_cell81","cond_F_cell82","cond_F_cell83","cond_F_cell84","cond_F_cell85","cond_F_cell86","cond_F_cell87","cond_F_cell88","cond_F_cell89","cond_F_cell90","cond_F_cell91","cond_F_cell92","cond_F_cell93","cond_F_cell94"
"gene_383",0,0,0,0,0,223,0,0,0,3,0,0,0,0,0,16,0,3489,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1213,0,0,0,0,0,73,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,6,457,343,0,0,1974,0,0,0,0,0,0,0,0,0,5006,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,0,1,0,0,0,0,11,0,0,0,0,0,33,0,61,80,0,0,0,135,147,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1943,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,628,433,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,24,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,405,0,0,246,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,258,0,1,1,1,0,0,5,0,0,12,0,0,0,0,0,34,0,0,443,253,0,0,0,0,0,1,0,80,15
"gene_384",6,0,44,0,0,0,0,0,0,0,6,0,0,0,50,241,0,0,11,0,0,0,669,1,19,0,10,74,12,0,0,6,107,0,0,0,0,0,0,0,0,16,14,7,0,1,0,1748,0,0,0,4,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,750,612,0,0,0,31,0,42,7,0,0,243,0,0,0,0,3,19,2,0,49,0,955,2667,1,0,13118,2905,1,409,6685,5264,408,68,897,65,447,258,0,358,0,560,192,0,0,0,4008,0,0,16,0,135,0,0,0,1,72,2977,1094,2,1,2,143,32,0,1,602,24,122,110,34,38,96,119,14,0,0,65,0,1,27,71,0,1742,12,6,2348,0,0,1650,1600,10,203,479,0,0,6,192,1200,17,71,5439,41,159,104,307,269,226,3,2061,507,1562,22,69,0,0,307,4,0,32,52,0,0,4,2,433,0,0,3089,0,4,0,583,1,0,0,0,0,66,0,182,0,0,0,0,0,0,0,0,9,0,0,1305,327,1,0,0,0,118,0,20,8,0,0,7,61,0,34,0,0,184,0,86,2,36,0,0,0,15,0,31,0,0,287,0,3041,0,5,0,10,10,188,0,0,0,0,16,263,234,0,0,0,0,0,351,0,382,0,0,0,5,0,0,0,0,0,5,0,0,0,1,41,0,0,0,0,52,3346,0,13,0,0,0,6,0,7,3969,31,34,1044,0,0,143,0,0,0,0,0,1,0,0,342,13,0,0,0,60,1,0,0,0,0,312,0,787,0,0,876,0,335,0,1,905,0,0,12049,0
"gene_385",0,0,0,29,0,0,0,38,0,0,628,7,0,0,1,9,92,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,615,0,381,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299,6,1,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,193,25,0,0,969,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2182,0,0,0,0,0,1619,0,0,155,27,1158,37,0,0,0,0,0,23,14,0,0,0,0,130,0,2,19,0,0,0,0,7,0,0,0,0,0,0,0,699,143,6,239,0,21,0,0,34,0,0,0,40,0,0,157,242,0,0,0,184,70,0,0,0,9102,0,5,0,1,56,281,0,0,0,0,0,0,0,0,0,0,0,0,0,4,594,0,0,39,0,0,0,0,0,0,4,0,0,0,0,46,0,0,0,3379,2,0,0,578,42,0,559,0,0,0,0,0,0,0,1618,848,103,0,5492,0,0,16,0,3138,0,0,0,0,0,0,0,173,0,0,0,0,0,2,0,0,2,0,0,107,0,123,0,0,4,0,105,0,0,0,0,6,0,16,0,0,2,0,436,222,21,0,0,42,0,2749,0,0,1131,157,0,0,269,352,0,3,0,4,0,0,0,0,0,115,0,0,0,0,0,0,3,1,0,0,1,0,15,0,0,0,5481,5966,0,0,0,2740,0,0,0,2,0,0,2852,0,0,0,19,0,0,282,0,17095,0,0,0,0,0,20,889,1167,11,239,0,0,0,0,0,0,0,0,0,8,223,144,0,39,0,0
"gene_386",425,19,5,9,0,8,34,109,0,1,7,112,0,0,0,0,171,0,0,0,0,0,1,340,0,5,573,526,1,2,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,8,23,0,0,0,1644,0,0,60,0,0,462,0,0,0,0,0,13,0,0,0,0,1516,0,0,0,428,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,747,0,0,0,0,2,0,0,1,0,52,0,0,0,0,0,1080,0,0,2,276,0,0,83,0,196,288,1221,0,590,0,1,29,0,1,0,0,897,0,2,1,19,191,0,736,934,0,7,1,197,0,1,200,9,44,81,341,0,0,0,0,438,72,10,136,149,0,320,0,652,223,10,40,4,850,278,32,41,4,43,0,0,0,5,0,23,72,0,49,94,87,407,0,774,594,160,0,1,104,0,15,4,0,0,18,27,897,0,103,28,0,0,247,0,129,2,0,12,154,142,58,0,0,0,1,9,0,4,2,50,570,10,98,0,0,1716,19,0,44,2,4,383,43,0,14,0,217,0,380,38,68,19,2,0,5,9,8,0,0,93,0,3,3,170,5,0,0,272,24,0,206,149,17,0,0,6,140,0,0,2452,4,5,207,0,15,1,0,7,0,0,0,1354,113,2137,465,0,764,2,0,0,0,0,20,0,0,0,2015,0,0,0,0,331,0,514,2,0,0,0,0,0,739,105,1,861,56,489,0,43,0,12,0,0,105,22,4,574,0,0,0,0,822,0,0,0,1,11,382,449,279,24,432,7,965,0,17,0,0,82,8,871,898,3,15,1760,0,1257,199,525,1576,785,0,5,0,6,0,9,0,0,47,0,10,0,0,0,0,0
"gene_387",5,46,1,0,0,373,4,0,0,9,9,0,9,1096,0,0,53,860,0,0,0,0,9,0,0,1,0,0,786,14,18,0,440,0,1,1940,60,290,0,0,151,0,568,193,114,0,47,0,1,19,0,0,0,413,2643,113,595,0,1,33,1,129,4,2,24,0,29,8390,53,33,23,138,0,2,382,0,0,0,154,0,8,295,0,0,0,2,253,0,57,559,72,2303,0,19,0,1549,10,96,8,448,2,0,2066,0,0,270,0,838,0,0,0,252,31,94,356,0,57,275,7,540,0,308,34,149,18,2992,0,15,217,230,787,13,171,0,3,3,57,0,271,0,0,32,15,656,63,1,551,4,0,985,0,0,167,0,2,0,0,6,10,0,612,11,0,0,0,1,0,0,279,0,0,0,0,50,1,294,37,179,0,1,1,4,223,0,4,0,224,0,0,23,151,0,6,487,0,1,0,0,0,0,0,0,0,2832,95,3,0,0,1102,742,1526,0,5,358,2,0,5,914,0,0,1128,0,0,0,8,0,0,0,0,0,23,0,0,0,0,520,0,6,437,0,15,0,387,252,842,0,2,446,0,0,0,330,0,0,38,49,0,0,0,1574,0,113,0,339,0,1344,31,142,0,0,7,0,0,0,4168,548,0,0,44,9,3,0,17,55,24,2800,0,0,19,0,243,0,7,0,3,0,24,0,215,1404,0,359,0,0,8,0,519,0,0,238,210,0,0,0,1318,0,0,0,0,0,412,0,0,0,72,0,0,370,253,217,7,0,212,193,281,0,0,0,0,0,263,1574,1,0,0,15,0,2,2,0,291,0,0,0,0,0,0,228,6,0,0,0,0,0,423,46,0,0,1,0,0,43,0,0,3394,0,7,0,3
"gene_388",119680,93323,2624,103847,47604,102615,45426,47943,43432,33109,14150,34842,46882,71308,80330,33454,67768,51412,63829,56245,144991,107135,125773,69373,49658,53315,50322,18655,53472,87092,84730,84417,27093,141758,45319,37647,61600,46321,98699,76517,34549,32447,62359,173494,87446,71064,11189,25519,51748,1114,12269,13662,101971,43573,968,58643,22231,27706,80241,13534,30990,147,12937,1219,2225,91756,50091,11728,30305,3779,61299,33844,5683,77567,79814,18933,20183,43842,54021,18295,50834,4786,16833,1290,28868,4217,5619,35651,68892,2980,42551,2311,5533,3279,7179,1127,72683,12122,15815,2443,19976,21822,6478,21267,1826,70734,40970,4075,5271,9926,8740,25979,43592,27809,57952,32557,5187,29843,24278,7263,20399,13517,2732,20997,19883,15594,561,1961,18111,8605,17532,10292,76768,19659,6365,8498,8616,3187,4671,3861,710,9637,3556,8362,3567,19480,13430,3292,17216,475,18858,3762,3674,10539,11991,23389,9484,10923,17385,7041,8921,7291,13217,23159,22838,720,2878,14164,8164,12849,15630,27901,13742,14314,7302,8266,1568,10680,18183,12482,22756,3161,12769,4578,17429,9129,40415,6746,2046,10909,5933,11082,11529,25814,5686,12455,574,42111,2239,12047,5829,10073,6636,9652,5213,13970,15434,9495,10086,6208,4164,11363,5590,44381,3608,15851,2026,7596,414,5532,2609,2211,2670,1570,5134,406,391,11778,4497,8588,10362,4005,4506,3566,3052,7803,5093,4960,2677,4245,1643,5107,6121,8451,7926,3138,1366,6167,8138,8136,2614,6340,16175,731,2994,1859,3470,17804,4374,9396,759,2883,5933,1943,807,3927,2607,2506,856,6039,1438,6032,10787,2005,6155,3736,33791,181,10598,58,8050,24478,6615,483,3711,11122,12063,1788,1469,5349,1595,2180,4300,1741,1315,2215,7411,7675,5694,1356,6131,5443,465,9978,1567,2189,46,2440,2801,241,241,2838,716,1751,2297,3360,1104,7718,16800,7728,1553,994,5637,665,7167,15723,869,512,2607,4361,7055,653,845,1862,4393,3457,5521,6790,4656,2154,1186,31,82,794,2807,25552,19147,878,329,2056,886,2049,1667,2142,476,2739,7491,2652,8106,695,2948,4258,9,264,1187,262,1088,283,790,851,5556,1676,4725,2656,7669,5967,266,3910,6839
"gene_389",185,4920,0,599,2440,6,6,0,1195,2074,83,4,2580,0,18,1749,2235,491,1674,116,56,4276,4323,1351,695,0,15,1,50,927,95,56,55,1937,4406,8,45,0,13,0,585,148,1314,195,0,1195,123,0,5,5,58,3842,0,520,6563,8,0,106,2987,0,1647,71,348,2,0,0,597,6473,6375,523,20670,892,1,3192,8596,0,2,232,0,188,207,78,378,89,72,19,2,2077,1103,1622,634,313,0,2676,14,53,1,0,1347,1981,1,0,0,0,0,0,0,0,3474,0,0,136,0,985,13,3,35,773,433,0,199,1254,0,119,0,0,0,0,2092,3307,0,0,1155,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,218,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"gene_390",99,3,0,271,3,0,456,973,1,0,8,88,23,57,975,1,214,234,218,531,451,12,120,4,0,39,0,500,0,52,492,92,0,90,122,2576,557,11,28,108,0,223,11,142,14,46,0,0,12,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,18,58,2,51,2,34,6,60,15,6,2,1,102,159,11,81,25,57,55,2,0,0,1,5,9,235,27,6,71,3,43,17,207,47,1,71,9,1,82,14,3,64,60,4,6,23,55,2,118,63,23,52,5,6,2,52,161,49,11,119,29,11,3,23,93,71,69,44,49,103,26,50,15,85,162,17,42,1,6,1,30,10,43,13,63,69,12,8,53,30,14,23,236,80,46,190,10,8,7,193,94,116,58,167,5,99,12,44,35,38,52,484,4,0,4,30,0,1149,1,2,0,0,1,3,16,0,145,0,0,814,70,7,5,2,3229,113,219,491,1,44,3,68,0,6,199,750,1,0,153,431,7,64,121,0,32,78,19,153,28,17,155,193,1,366,2,178,37,439,0,815,247,0,0,10,559,8,8,0,2,0,0,36,2,0,51,180,105,15,5,8,26,207,1,452,1,12,7,0,9,20,319,0,65,155,9,121,15,12,2,0,9,0,0,46,1,0,234,2,213,42,0,0,24,0,67,98,0,0,17,0,0,17,61,28,64,339,149,12,0,4,25,0,1,17,1,4,58,17,93,0,1,139,7,1,10,152,5,0,84,45,418,1,75,71,21,0,50,1,19,6,7,1,126,18,3,49,4,0,37
"gene_391",0,0,0,0,0,0,23,0,0,0,0,0,0,3,267,0,29,48,0,0,1290,1105,0,0,335,15,0,2,0,0,0,344,2,379,6,1,0,2960,0,0,0,40,0,118,0,31,0,1,0,2,0,0,0,227,0,405,0,0,0,0,1,2,0,0,0,0,0,0,0,36,0,0,578,170,0,0,0,0,1065,1,0,2410,0,253,0,0,275,0,8,0,401,0,284,0,15,4,0,3,0,0,9,0,9,3,0,7,0,0,0,3,0,4,0,4,6,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,495,0,0,1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,88,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene_392",119,2,0,0,0,999,0,0,0,118,0,76,209,289,0,0,0,975,87,0,0,2204,0,42,0,0,0,0,3,558,0,3,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935,0,0,0,0,0,0,0,0,0,4,2032,0,0,0,781,0,0,0,0,0,0,0,0,0,0,60,4995,0,616,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,0,0,0,0,55,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,887,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,11,0,0,0,0,4,0,304,0,0,1,0,0,0,0,0,0,0,0,2,0,4,0,0,22,0,44,0,0,0,0,1842,0,0,0,88,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,152,0,0,0,0,0,0,0,30,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,0,0,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,289,0,0,231,0,0,0,0,0,0,0,542,0,0,0,1,0,105,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,0,0,0,0,0,0,0,0,0,0,0
"gene_393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,2,4,1,0,12,0,0,1,0,0,3,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,13,1,0,1,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,1,0,0,0,0,0,442,0,0,21,0,0,0,0,0,0,0,161,0,181,0,0,0,0,0,0,0,19,0,496,0,0,0,0,0,0,0,0,7,871,0,0,31,3,0,0,69,0,0,0,0,0,0,2,0,1781,0,0,0,0,0,0,0,0,1,0,10997,1054,0,0,7668,0,190,0,1346,1212,0,113,528,0,66,0,0,223,335,0,519,0,0,0,0,0,0,0,14,225,30,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,219,2779,19,0,111,35,2,0,459,0,0,0,266,0,0,17,0,2521,0,10,0,0,117,0,1162,0,0,0,114,7,0,0,0,6,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,159,7,0,0,0,0,0,0,0,0,6,0,0,0,0,16,0,0,0,0,0,0,22,0,0,0,0,0,7676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene_394",79,71,21,195,3,2,18201,0,0,0,0,4587,25,0,229,205,1720,141,50,12,6809,3699,298,13,590,6632,897,0,4,7395,19,2257,127,14041,0,4,3405,2236,54,435,718,125,0,0,22,294,131,0,0,299,1917,7378,0,5190,0,30615,199,15118,18840,200,16,9,39,348,1114,52,192,3946,4,223,1,218,874,14,3220,33404,0,3816,0,75,0,0,2,1093,0,3768,0,30175,35,58,0,53,938,611,2918,2371,57,0,811,0,10042,348,0,26,0,7223,859,1,119,0,0,9,13,0,3,1773,0,609,9747,0,1,0,268,0,96,3269,279,0,26,294,8536,19,2136,253,2,5,373,24,160,705,106,76,2348,24,4133,2549,772,1,3033,11,414,0,206,57,0,1949,0,742,380,1869,23,221,2519,17,1206,506,2649,21036,2129,1706,265,41,104,0,121,15,0,3,1,151,8176,3733,786,30,1930,3883,1,91,2764,20,0,16,725,85,7024,2,0,132,1456,4318,2113,0,0,1389,4186,384,1568,3655,958,0,975,0,2851,0,1,256,3302,28,799,1654,17,47,1,351,2,0,1623,4,0,5,17,1433,2114,85,0,0,0,6732,550,1332,281,4821,0,7297,3894,1618,1065,2384,5019,0,582,0,0,163,0,58,69,6,2,29,1423,5,1,121,6311,5,407,4517,1039,1863,114,5,2,593,0,58,4,724,1386,0,0,0,0,381,0,0,0,1333,140,0,295,1,0,1530,2,0,122,0,22,365,0,8,908,0,0,43,0,1,126,21,0,919,1172,648,769,1,0,0,30187,14361,765,2,17,0,0,0,1,0,12,6,0,5448,6231,0,0,0,0,1,0,17,19,256,496,0,1881,3,9552,5,0,0,0,2,0,0,0,697,320,88,115,133,2434,0,0,3767,6,1,0,1,0,11737,8323,8332,0,44,0,0,6921,2,0
"gene_395",0,0,0,0,0,1,1454,0,0,42,0,0,0,0,0,0,1072,0,0,0,1,0,828,0,0,87,0,0,0,0,0,0,0,0,0,0,1,0,1505,0,80,0,0,0,0,0,0,0,21,3,0,1660,207,0,0,84,0,10,688,1,0,78,28,0,227,0,0,0,0,0,10,0,152,41,426,153,0,801,0,0,0,3,98,0,0,592,0,0,0,19,0,0,0,2,0,204,1,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,22,0,0,0,2,0,0,4,0,0,119,58,0,0,0,0,0,0,0,0,0,0,0,538,141,0,0,0,0,0,56,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2501,493,0,0,0,0,0,0,0,0,7,8,0,0,0,0,59,0,2,0,0,0,3,0,0,0,112,0,0,0,0,96,0,0,0,104,0,0,0,0,0,0,0,0,0,20,0,0,2,652,0,0,0,63,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,17,250,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,3262,0,0,0,0,0,8,0,0,0,0,0,0,265,0,0,2,0,260,0,0,0,230,0,0,0,0,0,0,0,0,0,0,594,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1074,0,0,0,0,0,0,0,68,0,0,0,0,1434,0,0,0,0,0,0,0,4335,0,286,1,0,0,0,0,0
